date,Bitcoin,Ethereum,Binance Coin,Cardano,Tether,XRP,Solana
2021-01-01,,,,,,,
2021-01-02,,,,,,,
2021-01-03,73.71000000000001,48.379999999999995,3.51,8.64,35.5,10.73,5.9399999999999995
2021-01-04,59.15,57.23,3.33,8.64,34.79,9.62,6.12
2021-01-05,50.050000000000004,41.3,2.34,14.94,32.66,8.51,9.0
2021-01-06,55.510000000000005,46.019999999999996,3.69,18.0,32.66,9.99,8.549999999999999
2021-01-07,78.26,59.0,4.14,16.38,39.76,18.87,5.76
2021-01-08,80.99000000000001,51.919999999999995,4.2299999999999995,15.299999999999999,34.08,11.1,7.92
2021-01-09,60.06,42.48,3.5999999999999996,13.86,44.019999999999996,9.62,4.859999999999999
2021-01-10,57.62,40.940000000000005,2.24,8.680000000000001,65.0,6.0,5.44
2021-01-11,86.0,39.56,0.9800000000000001,7.700000000000001,59.0,4.8,3.92
2021-01-12,62.78,31.28,1.8900000000000001,6.580000000000001,50.0,4.32,5.44
2021-01-13,56.76,24.84,2.87,6.580000000000001,50.0,4.8,4.5600000000000005
2021-01-14,55.04,25.76,2.0300000000000002,8.540000000000001,61.0,4.8,5.84
2021-01-15,50.74,23.46,1.7500000000000002,7.000000000000001,100.0,3.84,4.5600000000000005
2021-01-16,41.28,22.540000000000003,3.08,11.48,65.0,3.36,4.32
2021-01-17,24.750000000000004,16.34,1.33,14.000000000000002,37.050000000000004,2.8000000000000003,4.08
2021-01-18,23.1,15.96,1.9600000000000002,8.260000000000002,32.5,3.2,7.68
2021-01-19,22.55,26.98,2.31,9.24,33.800000000000004,4.4,5.44
2021-01-20,22.55,24.32,1.61,7.420000000000001,22.75,3.4000000000000004,4.64
2021-01-21,28.6,21.66,1.6800000000000002,6.580000000000001,27.95,3.0,3.84
2021-01-22,29.150000000000002,20.9,1.12,5.74,22.1,2.6,5.2
2021-01-23,21.450000000000003,16.34,1.9600000000000002,5.6000000000000005,22.1,2.8000000000000003,4.32
2021-01-24,17.5,18.240000000000002,2.53,5.64,16.12,3.5100000000000002,4.72
2021-01-25,18.5,24.7,2.09,5.16,21.32,3.7800000000000002,3.44
2021-01-26,17.5,19.38,1.87,4.8,16.12,2.97,3.6
2021-01-27,19.0,17.86,1.87,5.3999999999999995,15.08,3.5100000000000002,5.84
2021-01-28,18.5,17.86,5.28,5.76,16.64,3.24,4.64
2021-01-29,30.5,23.56,11.0,5.3999999999999995,20.8,5.4,3.44
2021-01-30,21.5,19.0,8.25,6.72,20.8,18.09,5.84
2021-01-31,17.48,21.62,9.75,14.31,18.87,74.0,3.33
2021-02-01,17.94,19.78,1.65,2.97,23.46,74.0,4.68
2021-02-02,16.560000000000002,29.44,1.5,6.48,14.280000000000001,25.16,3.69
2021-02-03,17.02,38.64,1.3499999999999999,4.59,17.34,14.06,5.9399999999999995
2021-02-04,18.400000000000002,40.940000000000005,2.55,4.050000000000001,19.38,18.5,4.41
2021-02-05,16.560000000000002,34.96,2.1,8.100000000000001,20.4,15.54,6.029999999999999
2021-02-06,19.78,36.800000000000004,2.85,8.91,21.42,11.84,4.59
2021-02-07,29.64,41.580000000000005,2.8000000000000003,20.28,24.57,6.24,6.300000000000001
2021-02-08,67.08,45.900000000000006,4.48,16.64,28.35,7.41,4.5
2021-02-09,75.66,49.68000000000001,8.96,15.600000000000001,32.13,7.800000000000001,6.9
2021-02-10,52.260000000000005,42.120000000000005,10.64,26.52,26.46,8.58,6.0
2021-02-11,48.36,39.96,7.5600000000000005,27.560000000000002,32.76,8.19,6.2
2021-02-12,46.800000000000004,39.42,7.000000000000001,19.240000000000002,31.5,10.92,5.800000000000001
2021-02-13,39.0,39.96,4.760000000000001,19.240000000000002,34.65,10.92,6.0
2021-02-14,41.25,35.28,8.74,15.19,32.25,8.399999999999999,6.7
2021-02-15,40.5,31.849999999999998,5.5200000000000005,14.209999999999999,30.0,7.35,5.300000000000001
2021-02-16,46.5,32.83,7.36,16.169999999999998,37.5,6.6499999999999995,6.0
2021-02-17,51.75,31.36,9.200000000000001,13.719999999999999,38.25,6.3,4.4
2021-02-18,46.5,38.22,18.86,17.64,33.0,6.3,5.2
2021-02-19,52.5,39.2,46.0,17.64,42.75,7.0,5.9
2021-02-20,57.75,48.019999999999996,33.120000000000005,33.32,46.5,7.0,8.200000000000001
2021-02-21,57.12,40.29,14.26,31.96,43.8,8.19,5.17
2021-02-22,68.03999999999999,43.35,10.54,29.92,40.879999999999995,18.330000000000002,6.16
2021-02-23,84.0,51.0,7.75,27.880000000000003,73.0,9.75,11.0
2021-02-24,62.16,38.76,6.51,27.880000000000003,35.04,6.24,8.47
2021-02-25,48.72,32.13,7.13,27.880000000000003,26.28,5.46,7.92
2021-02-26,50.4,32.13,4.65,42.160000000000004,36.5,5.07,7.81
2021-02-27,41.16,28.560000000000002,5.58,68.0,29.93,4.68,7.81
2021-02-28,29.700000000000003,22.75,1.8200000000000003,43.52,20.67,2.2,5.6000000000000005
2021-03-01,51.7,31.15,6.86,53.120000000000005,33.39,11.0,8.1
2021-03-02,45.650000000000006,30.799999999999997,7.700000000000001,43.52,27.03,11.0,6.5
2021-03-03,44.550000000000004,28.7,6.16,36.480000000000004,37.63,9.4,6.4
2021-03-04,41.800000000000004,23.099999999999998,5.74,33.92,21.73,10.8,6.2
2021-03-05,40.7,23.45,4.9,28.16,32.33,9.600000000000001,5.1000000000000005
2021-03-06,36.300000000000004,23.099999999999998,5.880000000000001,22.400000000000002,31.270000000000003,9.4,7.2
2021-03-07,39.2,27.299999999999997,9.02,16.81,39.75,8.93,7.1000000000000005
2021-03-08,42.00000000000001,30.099999999999998,9.68,15.579999999999998,31.270000000000003,11.02,4.4
2021-03-09,48.720000000000006,33.949999999999996,12.76,15.579999999999998,24.380000000000003,9.69,5.300000000000001
2021-03-10,47.040000000000006,32.55,14.52,13.94,24.91,9.120000000000001,8.9
2021-03-11,43.68000000000001,26.25,16.28,13.94,36.57,9.88,8.3
2021-03-12,44.24,25.549999999999997,15.84,16.4,20.14,8.55,6.5
2021-03-13,56.00000000000001,32.9,18.48,16.81,34.45,9.5,4.7
2021-03-14,52.38,33.0,30.69,23.400000000000002,45.650000000000006,8.28,4.68
2021-03-15,48.06,27.060000000000002,31.0,22.75,44.550000000000004,7.02,4.77
2021-03-16,43.74,24.42,27.59,38.35,35.75,9.54,3.69
2021-03-17,41.580000000000005,23.43,23.25,50.7,27.500000000000004,8.1,5.13
2021-03-18,41.580000000000005,24.09,31.0,65.0,36.85,9.0,4.77
2021-03-19,38.88,21.78,24.8,36.4,28.6,7.56,7.109999999999999
2021-03-20,34.56,22.11,23.56,31.85,30.800000000000004,12.24,6.21
2021-03-21,31.5,18.48,18.86,16.400000000000002,63.0,15.41,6.75
2021-03-22,35.0,19.32,17.25,16.400000000000002,51.660000000000004,23.0,5.13
