date,Bitcoin,Ethereum,Binance Coin,Cardano,Tether,Ripple,Solana
2019-12-01,8.47,1.8599999999999999,0.65,0.78,25.92,11.02,5.53
2019-12-02,9.57,1.68,0.38,1.48,19.2,13.49,3.6400000000000006
2019-12-03,8.8,2.4899999999999998,0.2,1.6,17.28,11.97,4.48
2019-12-04,9.24,1.77,0.0,0.8,20.8,14.44,4.9
2019-12-05,8.69,2.25,0.8,1.86,26.88,12.92,6.0200000000000005
2019-12-06,8.91,2.1,0.41000000000000003,1.16,21.76,11.97,4.48
2019-12-07,7.92,1.71,0.45,1.28,26.88,16.91,4.62
2019-12-08,6.800000000000001,1.4000000000000001,0.45,1.38,27.540000000000003,9.520000000000001,5.5200000000000005
2019-12-09,7.7,1.48,0.61,2.82,13.600000000000001,11.22,5.5200000000000005
2019-12-10,7.800000000000001,1.46,0.8,1.56,34.0,10.030000000000001,3.52
2019-12-11,8.200000000000001,1.42,0.0,1.7999999999999998,22.1,7.99,5.12
2019-12-12,8.1,1.5,1.0,2.55,23.46,10.540000000000001,3.52
2019-12-13,7.6000000000000005,1.3,0.21,2.37,30.94,8.84,7.36
2019-12-14,7.800000000000001,0.88,0.22,2.31,23.12,11.56,6.32
2019-12-15,7.81,1.29,0.65,2.1,26.88,21.0,6.93
2019-12-16,9.35,2.58,0.4,2.04,20.16,13.65,5.3999999999999995
2019-12-17,11.0,2.2199999999999998,0.6,2.67,21.12,16.169999999999998,5.76
2019-12-18,10.67,3.0,0.59,3.0,22.72,16.169999999999998,7.83
2019-12-19,9.57,2.55,0.61,1.8599999999999999,21.44,10.709999999999999,9.0
2019-12-20,9.35,1.65,0.43,2.2199999999999998,23.68,15.54,8.1
2019-12-21,8.03,1.77,0.7000000000000001,2.67,21.12,13.65,6.029999999999999
2019-12-22,8.69,1.7999999999999998,0.46,0.8200000000000001,20.8,12.920000000000002,3.7600000000000002
2019-12-23,9.24,1.74,0.43,1.74,23.68,12.41,7.2
2019-12-24,8.47,2.28,0.7000000000000001,1.8,22.400000000000002,12.920000000000002,4.48
2019-12-25,8.36,2.28,0.0,0.9,21.76,10.540000000000001,4.32
2019-12-26,8.69,2.55,0.44,1.1400000000000001,22.080000000000002,11.39,6.0
2019-12-27,8.8,1.92,0.88,1.76,17.92,10.540000000000001,5.6000000000000005
2019-12-28,7.48,2.79,0.68,1.28,23.04,9.520000000000001,7.04
2019-12-29,8.14,2.37,0.23,1.1,29.749999999999996,8.48,5.68
2019-12-30,8.47,2.76,0.42,1.02,17.849999999999998,8.48,5.2
2019-12-31,8.03,2.4299999999999997,0.46,1.02,20.65,10.24,4.72
2020-01-01,6.2700000000000005,1.74,0.14,0.8,18.9,8.96,6.0
2020-01-02,7.37,2.13,0.12,0.54,25.549999999999997,8.32,4.72
2020-01-03,7.59,2.2199999999999998,0.24,0.48,25.2,9.92,5.2
2020-01-04,7.48,1.8599999999999999,0.38,0.62,24.849999999999998,9.28,7.12
2020-01-05,9.24,1.53,0.13,0.78,16.34,9.88,5.5200000000000005
2020-01-06,9.940000000000001,1.74,0.46,1.5,29.64,13.68,5.68
2020-01-07,12.740000000000002,1.8599999999999999,0.46,1.6199999999999999,36.1,12.73,5.36
2020-01-08,13.440000000000001,2.25,0.79,1.3199999999999998,26.22,12.540000000000001,5.28
2020-01-09,10.920000000000002,2.19,0.11,1.05,31.54,12.16,7.2
